Test Scope,Test Type,Test Module,Attribute,Component,Probability,Impact,Risk & Priority,,Customer Cases,Test Step,Ticket,CW52-02,Ticket,CW03,Ticket,CW04,Ticket,CW06-07,Ticket,CW09,Ticket,CW10,Ticket,CW11,Ticket,CW12,Ticket,CW13,Ticket,CW14,Ticket,CW15,Ticket,CW16,Ticket,CW17,Ticket,CW19,Ticket,CW20,Ticket,CW21,Ticket,CW22,Ticket,CW23,Ticket,CW24,Ticket,CW25,Ticket,CW26,Ticket
,,,,,,,,,SW Version,,,I450_24w50.3-1,,24w51.4-6,,25w03.1-1,,25w06.2-2,,25w07.2-1,,2507_25w09.2-1,,2507_25w10.1-2,,2507_25w11.2-1,,2507_25w11.7-1,,2507_25w13.3-1,,,,2507_25w15.1-1,,2507_25w16.1-1,,I490_25w18.2-1,,2507_25w19.3-6,,2507_29w19.7-1,,,,,,,,,,,
,,,,,,,,,Speech App Version,,,5.0.1218002507,,5.1.108002507,,5.1.115002507,,5.1.122002507,,5.1.212002507,,5.1.226012507,,5.1.305012507,,5.1.312002507,,5.1.319002507,,5.1.326002507,,,,5.1.409002507,,5.1.416002507,,5.1.428002507,,5.1.428002507,,5.2.514002511,,,,,,,,,,,
,,,,,,,,,Persinal assistant app version,,,2.0.23,,2.0.25,,,,2.0.29,,2.0.30,,2.0.33,,2.0.33,,2.0.33,,2.0.35,,2.0.36,,,,2.0.37,,2.0.39,,2.0.40,,2.0.41,,2.0.40,,,,,,,,,,,
,,,,,,,,,IM app,,,,,,,,,8.7.1,,8.7.1,,8.7.4,,8.7.4,,8.7.5,,8.7.7,,8.7.7,,,,8.7.8,,8.7.11,,8.7.13,,8.7.14,,8.7.16,,,,,,,,,,,
,,,,,,,,,Reporter,,,Ma Lijia,,Ma Lijia,,Weining,,Yunwei,,Weining,,Lijia&Weining,,weining,,Zhao Weining,,Zhao Weining,,Zhao Weining,,Zhao Weining,,Zhao Weining,,Zhao Weining,,Zhao Weining,,Zhao Weining,,Zhao Weining,,Zhao Weining,,Gao Yunwei,,Ma Lijia,,Zhao Weining,,Gao Yunwei,
,,,,,,,,,Vehicle,,,,,,,,,,,,,BBG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Time Cost,,,,,3,,2,,2,,3,,,,3,,3,,3,,3,,,,3,,3,,3,,3,,,,,,,,,,,,,
"Dynamic Roadtest
动态路测","Robustness
成熟性","Voice recognition （Noise, multi speakers）
语音识别  (噪声下，多人说话识别)",,,High Rate,High Impact,16,"speech activation(real car best)
语音唤醒(唤醒率测试建议实车)","WuW under outside noise of city road driving
城市工况行驶，环境噪音影响","A/C  20° auto, window closed, city road + speed 40-80km/h, first wakeup >= 90%
1.WuW城市道路行驶
唤醒词首次成功率不小于90%",,No Run,,blocked,,blocked,,blocked,,blocked,,blocked,,blocked,,Blocked,,Fail,2205696,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,,,,,,,,,,
"Dynamic Roadtest
动态路测","Robustness
成熟性","Voice recognition （Noise, multi speakers）
语音识别  (噪声下，多人说话识别)",,,Low Rate,High Impact,12,,"WuW under outside noise of highway driving
高速工况行使，环境噪音影响","A/C  20° auto, window closed, highway + speed 100-140km/h, first wakeup>= 90%
2.高速道路行驶
唤醒词首次成功率不小于90%",,blocked,,blocked,,blocked,,blocked,,blocked,,blocked,,blocked,,Blocked,,Blocked,,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,,,,,,,,,,
"Dynamic Roadtest
动态路测","Robustness
成熟性","Voice recognition （Noise, multi speakers）
语音识别  (噪声下，多人说话识别)",,,Low Rate,High Impact,12,,"WuW under inner noise of Max A/C
空调最大风量，内部噪音影响","A/C  20°, window closed, Fan speed Max, first wakeup >= 90%
3.空调风力影响
自动到最大，唤醒词首次成功率不小于90%",,blocked,,blocked,,blocked,,blocked,,blocked,,blocked,,blocked,,Blocked,,Blocked,,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,,,,,,,,,,
