platform_id,count
M618961,43
2V17644,21
[I&K25_26-07_480_26W03] I&K25 CLUSTER ATS,16
XXX,9
[I&K23_25-07_480_25W05] SW I&K23 CLUSTER FS/SF,8
UNABLE TO RETRIEVE CHECKIN DATA FROM PROD CAR.,6
CЗЕА864602860F50,6
CN18309,4
5W65834,3
9D27145,3
SC03583,2
HY16017,2
LBV41HT01V1B3631,2
VWBA31AW020HY06413,1
-WMW21GD02P2U18032,1
CAR EXTERIOR LIGHTS ON/OFF,1
=WMW51GD06P2V17644,1
9都7145,1
HY35514,1
MWBA21EH0XPCK79048,1
[I&K22_25-07_460_24W46] I&K22 CLUSTER ATS+3,1
VWBACV6105KLK20040,1
[I&K23_25-07_530_25W25] SW I&K23 CLUSTER SF,1
G070-25-03-550,1
0326_ GAMING & ONE STORE & CONTACT BOOK & FA & VOD_IDCEVO_2025CW43_JINGPU LI_369866/WUKONG,1
[I&K23_26-03_530_26W03] SW I&K23 CLUSTER ATS/FS,1
