found_in_function,team,defect_category,ticket_count
26-07,DTSV_China,,1460
26-07,DTSV_China,Showstopper_Candidate,1000
25-07,DTSV_China,,849
25-07,DTSV_China,Showstopper_Candidate,749
24-07,IUK,,735
24-11,IUK,,555
,DTSV_China,,552
26-03,DTSV_China,,467
24-07,IUK,Showstopper_Candidate,430
26-03,DTSV_China,Showstopper_Candidate,398
24-07,DIPS,,376
24-07,DIPS,Showstopper_Candidate,364
25-07,IUK,,351
24-11,IUK,Showstopper_Candidate,297
25-07,IUK,Showstopper_Candidate,279
25-11,DTSV_China,,275
24-11,DIPS,,267
26-11,DTSV_China,,260
,IUK,,258
26-07,DTSV_China,Homologation L-labelled | Showstopper_Candidate,239
24-11,DIPS,Showstopper_Candidate,235
26-07,DTSV_China,Homologation L-labelled,227
25-07,DIPS,Showstopper_Candidate,226
25-11,DTSV_China,Showstopper_Candidate,221
26-07,DTSV_China,Top_Issue_Confirmed,216
,DIPS,,207
,DTSV_China,Showstopper_Candidate,183
25-03,IUK,Showstopper_Candidate,174
25-07,DIPS,,167
25-07,IUK,Showstopper_Confirmed,152
26-07,DTSV_China,Homologation L-labelled | Not Homologation relevant,149
26-07,DTSV_China,Showstopper_Confirmed,132
25-03,IUK,,124
,DTSV_China,Homologation L-labelled,123
24-07,IUK,Showstopper_Confirmed,121
26-03,DTSV_China,Showstopper_Confirmed,121
26-07,DTSV_China,No_Showstopper_Candidate,116
,DIPS,Showstopper_Candidate,111
25-03,DTSV_China,,107
25-07,DTSV_China,Showstopper_Confirmed,106
25-03,DIPS,Showstopper_Candidate,98
26-03,IUK,,87
25-07,DIPS,Showstopper_Confirmed,85
26-11,DTSV_China,Showstopper_Candidate,80
24-07,DIPS,Showstopper_Confirmed,78
25-03,DIPS,,77
25-03,DTSV_China,Showstopper_Candidate,76
24-11,IUK,Showstopper_Confirmed,74
25-07,IUK,Preventing Maturity Grade ConDrive,70
26-03,DTSV_China,Obstructing Maturity Grade ConDrive | No_Showstopper_Confirmed,70
26-11,IUK,,67
26-03,DTSV_China,Top_Issue_Confirmed,66
24-03,DIPS,,59
,IUK,Showstopper_Candidate,56
24-03,DIPS,Showstopper_Candidate,54
26-07,DIPS,,54
24-11,DIPS,Showstopper_Confirmed,53
26-03,IUK,Preventing Maturity Grade ConDrive,53
26-07,DTSV_China,Homologation L-labelled | Top_Issue_Confirmed,52
26-07,IUK,,49
24-11,DTSV_China,,48
26-11,DTSV_China,Homologation L-labelled,47
26-03,DTSV_China,Homologation L-labelled | Showstopper_Candidate,46
26-07,,,46
24-11,DIPS,Homologation L-labelled | Showstopper_Candidate,42
25-07,DTSV_China,Homologation L-labelled,41
24-03,IUK,,40
26-07,DTSV_China,Preventing Maturity Grade ConDrive,40
25-07,DTSV_China,Homologation L-labelled | Showstopper_Candidate,39
26-03,DTSV_China,Homologation L-labelled,39
25-11,DTSV_China,Top_Issue_Confirmed,38
24-07,DIPS,Homologation L-labelled | Showstopper_Candidate,37
25-11,DTSV_China,Homologation L-labelled | Showstopper_Candidate,37
26-03,IUK,Showstopper_Confirmed,36
25-03,IUK,Showstopper_Confirmed,35
25-11,DTSV_China,Homologation L-labelled,35
,DIPS,Homologation L-labelled,34
26-07,IUK,Top_Issue_Confirmed,34
,DIPS,Preventing Maturity Grade ConDrive,33
,DTSV_China,Homologation L-labelled | Showstopper_Candidate,33
26-07,IuK_TSP_Navi,,33
26-03,DIPS,Showstopper_Confirmed,32
No I-Step Relevance,DTSV_China,Showstopper_Candidate,32
26-07,DTSV_China,Homologation L-labelled | Showstopper_Confirmed,31
25-07,DIPS,Preventing Maturity Grade ConDrive,30
26-03,DIPS,,30
