found_in_function,team,ticket_count
26-07,DTSV_China,3880
25-07,DTSV_China,1992
24-07,IUK,1434
26-03,DTSV_China,1347
25-07,IUK,1081
24-07,DIPS,1032
24-11,IUK,1027
,DTSV_China,943
25-07,DIPS,790
24-11,DIPS,682
25-11,DTSV_China,677
,DIPS,513
26-11,DTSV_China,450
,IUK,394
25-03,IUK,382
26-07,DIPS,336
26-03,IUK,270
26-07,IUK,270
25-03,DIPS,249
25-03,DTSV_China,207
26-03,DIPS,188
24-03,DIPS,147
25-11,DIPS,124
26-07,,114
24-03,IUK,93
26-11,IUK,92
25-11,IUK,87
25-07,,85
27-07,DTSV_China,75
No I-Step Relevance,DTSV_China,71
24-11,DTSV_China,68
26-07,IuK_TSP_Navi,53
No I-Step Relevance,DIPS,45
26-11,DIPS,44
,,38
26-11,,35
25-11,,29
26-11,IuK_TSP_Navi,28
26-03,,25
26-07,IuK_TSP_Entertainment,24
27-07,,14
23-11,DIPS,13
No I-Step Relevance,IUK,13
24-07,,12
,IuK_TSP_Audio,11
27-07,IuK_TSP_Stability_Performance,11
,IuK_TSP_HMI,10
24-11,,10
26-07,IuK_TSP_Connectivity,10
26-07,IuK_TSP_HMI,10
26-07,DIPS_TSP_CD_Updates,9
26-07,IuK_TSP_Stability_Performance,9
25-07,IuK_TSP_HMI,8
25-07,[AT]W72-FIT,8
26-11,IuK_TSP_Stability_Performance,8
27-07,IuK_TSP_Navi,7
23-11,IUK,6
24-07,DTSV_China,6
26-07,IuK_TSP_Audio,6
26-11,DIPS_TSP_CD_Updates,6
27-07,DIPS,6
27-07,IuK_TSP_Entertainment,6
,DIPS_TSP_CD_Updates,5
23-07,,5
24-03,,5
24-07,[AT]CoC_EI_IuK_China,5
25-03,,5
26-11,IuK_TSP_HMI,5
27-07,IuK_TSP_Connectivity,5
,DIPS_TSP_Remote_Services,4
24-03,DTSV_China,4
24-07,[AT]FIT_LAENDER,4
25-07,DTSV_Japan,4
25-11,IuK_TSP_Navi,4
26-07,DIPS_TSP_Call_Services,4
26-07,[AT]CoC_EI_IuK,4
26-11,IuK_TSP_Audio,4
26-11,IuK_TSP_Entertainment,4
27-07,DIPS_TSP_CD_Updates,4
27-07,IUK,4
27-07,IuK_TSP_HMI,4
,IuK_TSP_Navi,3
23-07,DTSV_China,3
23-11,DTSV_China,3
24-03,Spotlight_FIT,3
24-07,DTSV_WCL,3
24-07,[AT]FIT_Basis_SP21_LU,3
24-07,[AT]SysVal_China,3
24-07,[AT]SysVal_Korea,3
24-07,[AT]W71-FIT,3
25-03,[AT]W72-FIT,3
25-07,[AT]BBA_Basis-FIT,3
25-07,[AT]W71-FIT,3
26-07,DIPS_TSP_Remote_Services,3
26-07,IuK_TSP_Carfunctions,3
26-07,[AT]W72-FIT,3
26-07,[AT]supplier,3
